"skills","avg_salary","count_skills"
"sql","97237.16","398"
"excel","87288.21","256"
"python","101397.22","236"
"tableau","99287.65","230"
"r","100498.77","148"
"sas","98902.37","126"
"power bi","97431.30","110"
"powerpoint","88701.09","58"
"looker","103795.30","49"
"word","82576.04","48"
"snowflake","112947.97","37"
"oracle","104533.70","37"
"sql server","97785.73","35"
"azure","111225.10","34"
"aws","108317.30","32"
"sheets","86087.79","32"
"flow","97200.00","28"
"go","115319.89","27"
"spss","92169.68","24"
"vba","88783.29","24"
"hadoop","113192.57","22"
"jira","104917.90","20"
"javascript","97587.00","20"
"sharepoint","81633.58","18"
"java","106906.44","17"
"alteryx","94144.53","17"
"redshift","99936.44","16"
"ssrs","99171.43","14"
"bigquery","109653.85","13"
"nosql","101413.73","13"
"qlik","99630.81","13"
"spark","99076.92","13"
"outlook","90077.42","13"
"ssis","106683.33","12"
"confluence","114209.91","11"
"c++","98958.23","11"
"databricks","141906.60","10"
"dax","104500.00","10"
"visio","95841.55","10"
"c#","86540.05","10"
"pandas","151821.33","9"
"c","98937.72","9"
"t-sql","96365.00","9"
"mysql","95223.89","9"
"sap","102919.88","8"
"html","86437.50","8"
"bash","96558.33","6"
"ms access","85518.83","6"
"spreadsheet","81892.23","6"
"windows","74124.48","6"
"mongodb","66019.67","6"
"numpy","143512.50","5"
"atlassian","131161.80","5"
"airflow","126103.00","5"
"scala","124903.00","5"
"crystal","120100.00","5"
"git","112000.00","5"
"matlab","94200.00","5"
"github","91580.00","5"
"planner","76800.00","5"
"matplotlib","76301.40","5"
"smartsheet","63000.00","5"
"postgresql","123878.75","4"
"db2","114072.13","4"
"phoenix","97230.00","4"
"powershell","95275.00","4"
"cognos","93263.75","4"
"microsoft teams","87853.88","4"
"terminal","80625.00","4"
"express","80000.00","4"
"plotly","78750.00","4"
"ruby","61779.50","4"
"gitlab","154500.00","3"
"jupyter","152776.50","3"
"jenkins","125436.33","3"
"gcp","122500.00","3"
"shell","108200.00","3"
"unix","107666.67","3"
"sqlite","89166.67","3"
"seaborn","77500.00","3"
"pyspark","208172.25","2"
"bitbucket","189154.50","2"
"swift","153750.00","2"
"linux","136507.50","2"
"kubernetes","132500.00","2"
"scikit-learn","125781.25","2"
"microstrategy","121619.25","2"
"arch","82750.00","2"
"spring","82000.00","2"
"webex","81250.00","2"
"julia","71148.00","2"
"visual basic","62500.00","2"
"couchbase","160515.00","1"
"watson","160515.00","1"
"datarobot","155485.50","1"
"golang","145000.00","1"
"elasticsearch","145000.00","1"
"twilio","127000.00","1"
"notion","125000.00","1"
"ibm cloud","111500.00","1"
"rust","97500.00","1"
"unity","95500.00","1"
"mariadb","95000.00","1"
"php","95000.00","1"
"pascal","92000.00","1"
"vb.net","90000.00","1"
"clickup","90000.00","1"
"chef","85000.00","1"
"node.js","83500.00","1"
"zoom","80740.00","1"
"ggplot2","75000.00","1"
"erlang","72500.00","1"
"colocation","67500.00","1"
"sass","67500.00","1"
"css","52500.00","1"
"ruby on rails","51059.00","1"
"wire","42500.00","1"
